"201","60","Warwick Davis"
"311","60","Warwick Davis"
"312","60","Warwick Davis"
"313","60","Warwick Davis"
"315","60","Warwick Davis"
"316","60","Warwick Davis"
"132","61","Jamie Campbell Bower"
"161","61","Jamie Campbell Bower"
"278","61","Jamie Campbell Bower"
"311","61","Jamie Campbell Bower"
"315","61","Jamie Campbell Bower"
"124","62","Robbie Coltrane"
"130","62","Robbie Coltrane"
"201","62","Robbie Coltrane"
"311","62","Robbie Coltrane"
"312","62","Robbie Coltrane"
"313","62","Robbie Coltrane"
"314","62","Robbie Coltrane"
"315","62","Robbie Coltrane"
"316","62","Robbie Coltrane"
"317","62","Robbie Coltrane"
"429","62","Robbie Coltrane"
"311","63","David Thewlis"
"312","63","David Thewlis"
"314","63","David Thewlis"
"315","63","David Thewlis"
"316","63","David Thewlis"
"472","63","David Thewlis"
"185","64","Brendan Gleeson"
"201","64","Brendan Gleeson"
"270","64","Brendan Gleeson"
"311","64","Brendan Gleeson"
"312","64","Brendan Gleeson"
"369","64","Brendan Gleeson"
"400","64","Brendan Gleeson"
"475","64","Brendan Gleeson"
"311","65","Evanna Lynch"
"312","65","Evanna Lynch"
"315","65","Evanna Lynch"
"316","65","Evanna Lynch"
"311","66","Helen McCrory"
"315","66","Helen McCrory"
"316","66","Helen McCrory"
"390","66","Helen McCrory"
"427","66","Helen McCrory"
"19","67","Timothy Spall"
"44","67","Timothy Spall"
"201","67","Timothy Spall"
"278","67","Timothy Spall"
"311","67","Timothy Spall"
"315","67","Timothy Spall"
"316","67","Timothy Spall"
"124","68","Julie Walters"
"216","68","Julie Walters"
"311","68","Julie Walters"
"312","68","Julie Walters"
"313","68","Julie Walters"
"314","68","Julie Walters"
"315","68","Julie Walters"
"316","68","Julie Walters"
"317","68","Julie Walters"
"318","68","Julie Walters"
"19","69","Imelda Staunton"
"130","69","Imelda Staunton"
"311","69","Imelda Staunton"
"312","69","Imelda Staunton"
"65","70","Fiona Shaw"
"311","70","Fiona Shaw"
"312","70","Fiona Shaw"
"317","70","Fiona Shaw"
"311","71","Natalia Tena"
"312","71","Natalia Tena"
"315","71","Natalia Tena"
"316","71","Natalia Tena"
"201","72","James Phelps"
"311","72","James Phelps"
"312","72","James Phelps"
"314","72","James Phelps"
"315","72","James Phelps"
"316","72","James Phelps"
"201","73","Oliver Phelps"
"311","73","Oliver Phelps"
"312","73","Oliver Phelps"
"315","73","Oliver Phelps"
"316","73","Oliver Phelps"
"311","74","Richard Griffiths"
"312","74","Richard Griffiths"
"313","74","Richard Griffiths"
"314","74","Richard Griffiths"
"317","74","Richard Griffiths"
"427","74","Richard Griffiths"
"434","74","Richard Griffiths"
"201","75","Mark Williams"
"311","75","Mark Williams"
"312","75","Mark Williams"
"315","75","Mark Williams"
"316","75","Mark Williams"
"311","76","Harry Melling"
"312","76","Harry Melling"
"317","76","Harry Melling"
"19","77","Frances de la Tour"
"201","77","Frances de la Tour"
"311","77","Frances de la Tour"
"427","77","Frances de la Tour"
"311","78","Sophie Thompson"
"311","79","David O'Hara"
"400","79","David O'Hara"
"413","79","David O'Hara"
"311","80","Steffan Rhodri"
"59","81","Emma Watson"
"201","81","Emma Watson"
"311","81","Emma Watson"
"312","81","Emma Watson"
"313","81","Emma Watson"
"314","81","Emma Watson"
"315","81","Emma Watson"
"316","81","Emma Watson"
"317","81","Emma Watson"
"201","82","Daniel Radcliffe"
"311","82","Daniel Radcliffe"
"312","82","Daniel Radcliffe"
"313","82","Daniel Radcliffe"
"314","82","Daniel Radcliffe"
"315","82","Daniel Radcliffe"
"316","82","Daniel Radcliffe"
"317","82","Daniel Radcliffe"
"201","83","Katie Leung"
"311","83","Katie Leung"
"312","83","Katie Leung"
"315","83","Katie Leung"
"316","83","Katie Leung"
"132","84","Kristen Stewart"
"133","84","Kristen Stewart"
"161","84","Kristen Stewart"
"173","84","Kristen Stewart"
"328","84","Kristen Stewart"
"447","84","Kristen Stewart"
"132","85","Robert Pattinson"
"133","85","Robert Pattinson"
"161","85","Robert Pattinson"
"201","85","Robert Pattinson"
"328","85","Robert Pattinson"
"447","85","Robert Pattinson"
"132","86","Peter Facinelli"
"133","86","Peter Facinelli"
"161","86","Peter Facinelli"
"328","86","Peter Facinelli"
"447","86","Peter Facinelli"
"132","87","Elizabeth Reaser"
"133","87","Elizabeth Reaser"
"161","87","Elizabeth Reaser"
"328","87","Elizabeth Reaser"
"447","87","Elizabeth Reaser"
"132","88","Ashley Greene"
"133","88","Ashley Greene"
"161","88","Ashley Greene"
"328","88","Ashley Greene"
"447","88","Ashley Greene"
"132","89","Taylor Lautner"
"133","89","Taylor Lautner"
"161","89","Taylor Lautner"
"328","89","Taylor Lautner"
"447","89","Taylor Lautner"
"132","90","Billy Burke"
"133","90","Billy Burke"
"419","90","Billy Burke"
"447","90","Billy Burke"
"132","91","Nikki Reed"
"133","91","Nikki Reed"
"161","91","Nikki Reed"
"328","91","Nikki Reed"
"447","91","Nikki Reed"
"132","92","Anna Kendrick"
"133","92","Anna Kendrick"
"135","92","Anna Kendrick"
"255","92","Anna Kendrick"
