"37","27","0","Adventure"
"38","27","0","Adventure"
"39","27","0","Adventure"
"45","27","0","Adventure"
"47","27","0","Adventure"
"48","27","0","Adventure"
"49","27","0","Adventure"
"51","27","0","Adventure"
"53","27","0","Adventure"
"56","27","0","Adventure"
"58","27","0","Adventure"
"59","27","0","Adventure"
"62","27","0","Adventure"
"64","27","0","Adventure"
"71","27","0","Adventure"
"72","27","0","Adventure"
"75","27","0","Adventure"
"77","27","0","Adventure"
"78","27","0","Adventure"
"79","27","0","Adventure"
"80","27","0","Adventure"
"81","27","0","Adventure"
"82","27","0","Adventure"
"83","27","0","Adventure"
"84","27","0","Adventure"
"85","27","0","Adventure"
"86","27","0","Adventure"
"87","27","0","Adventure"
"88","27","0","Adventure"
"89","27","0","Adventure"
"90","27","0","Adventure"
"98","27","0","Adventure"
"100","27","0","Adventure"
"102","27","0","Adventure"
"103","27","0","Adventure"
"104","27","0","Adventure"
"105","27","0","Adventure"
"108","27","0","Adventure"
"109","27","0","Adventure"
"111","27","0","Adventure"
"117","27","0","Adventure"
"118","27","0","Adventure"
"124","27","0","Adventure"
"132","27","0","Adventure"
"133","27","0","Adventure"
"135","27","0","Adventure"
"136","27","0","Adventure"
"138","27","0","Adventure"
"139","27","0","Adventure"
"143","27","0","Adventure"
"144","27","0","Adventure"
"145","27","0","Adventure"
"148","27","0","Adventure"
"149","27","0","Adventure"
"152","27","0","Adventure"
"159","27","0","Adventure"
"161","27","0","Adventure"
"163","27","0","Adventure"
"170","27","0","Adventure"
"171","27","0","Adventure"
"173","27","0","Adventure"
"174","27","0","Adventure"
"177","27","0","Adventure"
"183","27","0","Adventure"
"185","27","0","Adventure"
"186","27","0","Adventure"
"187","27","0","Adventure"
"188","27","0","Adventure"
"190","27","0","Adventure"
"191","27","0","Adventure"
"196","27","0","Adventure"
"198","27","0","Adventure"
"200","27","0","Adventure"
"201","27","0","Adventure"
"203","27","0","Adventure"
"204","27","0","Adventure"
"206","27","0","Adventure"
"210","27","0","Adventure"
"211","27","0","Adventure"
"215","27","0","Adventure"
"217","27","0","Adventure"
"219","27","0","Adventure"
"221","27","0","Adventure"
"222","27","0","Adventure"
"223","27","0","Adventure"
"224","27","0","Adventure"
"238","27","0","Adventure"
"240","27","0","Adventure"
"241","27","0","Adventure"
"244","27","0","Adventure"
"245","27","0","Adventure"
"250","27","0","Adventure"
"255","27","0","Adventure"
"262","27","0","Adventure"
"264","27","0","Adventure"
"269","27","0","Adventure"
"271","27","0","Adventure"
"272","27","0","Adventure"
"276","27","0","Adventure"
"281","27","0","Adventure"
"282","27","0","Adventure"
"283","27","0","Adventure"
"284","27","0","Adventure"
"285","27","0","Adventure"
